austria,39.820,32.777
belgium,40.283,62.348
denmark,121.672,11.092
finland,66.248,60.668
france,539.000,559.800
germany,722.516,674.597
italy,64.000,240.915
netherlands,425.489,144.509
norway,118.687,55.222
portugal,18.000,10.000
spain,231.800,80.000
sweden,285.965,108.518
switzerland,29.910,65.100
slovenia,6.109,6.076
uk,555.494,250.425
